_id,shape__area,shape__length,acres,area,district,objectid,perimeter,rams_,rams_id,sqmiles,geometry
1,108953503.712646,65491.3660207955,2501.22998047,108953503.5655,4,1,65491.36472534,60,915,3.91000009,"POLYGON ((584246.8827731923665851 4481776.6665361672639847, 586144.7634943169541657 4480017.7128636920824647, 586920.9807488063815981 4480361.9250288726761937, 585344.2205523877637461 4478284.4295462621375918, 583378.3775256181834266 4477598.3284197971224785, 583192.5121498643420637 4482553.8438375703990459, 584246.8827731923665851 4481776.6665361672639847))"
2,28596049.2213135,39150.1581889435,656.4699707,28596049.24842,9,2,39150.15817383,86,786,1.02999997,"POLYGON ((590483.1125030989060178 4478834.7564506279304624, 590763.2883699513040483 4478236.5337051171809435, 588836.8852426919620484 4477801.2845285022631288, 588531.0251915334956720 4479123.7454019626602530, 587674.2923101971391588 4478852.6134756915271282, 587621.1730968013871461 4479372.9202381204813719, 589751.7191878783050925 4478803.0173064796254039, 590657.8449454052606598 4479752.4336943393573165, 591335.7523168392945081 4479445.6807621130719781, 590483.1125030989060178 4478834.7564506279304624))"
3,100661163.486572,76786.5882207012,2310.86010742,100661163.0209,11,3,76786.58819713,103,762,3.6099999,"POLYGON ((595359.1996708255028352 4479402.6720869634300470, 596066.2047206419520080 4478261.7159555032849312, 593923.3594409796642140 4478332.7965417485684156, 593813.3858247250318527 4475696.2444651797413826, 592922.4982443978078663 4475638.4774412671104074, 593197.3280264403438196 4477116.9887456838041544, 590943.0050668851472437 4476930.0329132862389088, 590117.7075576736824587 4478002.8307306915521622, 591335.7523168392945081 4479445.6807621130719781, 595359.1996708255028352 4479402.6720869634300470))"
4,76067835.2265625,44022.6128045625,1746.2800293,76067834.86646,5,4,44022.61158734,105,836,2.73000002,"POLYGON ((587717.1754193623783067 4479153.7730730017647147, 588523.5747970986412838 4479131.4753895970061421, 589338.6413165762787685 4477710.2320839986205101, 588166.0671076758299023 4475983.0583469904959202, 585427.5596496186917648 4477244.9588567819446325, 587717.1754193623783067 4479153.7730730017647147))"
5,150130482.582062,71746.2343092378,3446.52001953,150130482.9769,7,5,71746.23426933,160,818,5.38999987,"POLYGON ((590945.5534668449545279 4476937.4259978085756302, 593197.3280264403438196 4477116.9887456838041544, 592922.4982443978078663 4475638.4774412671104074, 594075.7652476996881887 4475771.7910449719056487, 590958.5138987293466926 4472934.8251530872657895, 591129.6648649101844057 4473933.4747450137510896, 589512.5296221617609262 4473938.4616615809500217, 588166.0671076758299023 4475983.0583469904959202, 589271.2282099346630275 4477911.7274362258613110, 590945.5534668449545279 4476937.4259978085756302))"
6,276039294.674988,140830.746816915,6336.99023438,276039293.7224,3,6,140830.7454246,168,976,9.89999962,"POLYGON ((580410.3303701498080045 4479650.4250610992312431, 584725.0113992679398507 4475840.0820616977289319, 582365.5112679965095595 4472295.7567057395353913, 580515.4783067832468078 4472801.9635710977017879, 581865.6258302589412779 4475747.9012666679918766, 578576.5915130890207365 4474054.4542665500193834, 577565.8040687935426831 4475075.3067554347217083, 580108.9512064852751791 4477460.9135002121329308, 577776.9932094569085166 4477040.2598700970411301, 576725.8047295366413891 4479142.7777693811804056, 580410.3303701498080045 4479650.4250610992312431))"
7,69547689.4334412,51589.9183613748,1596.59997559,69547689.71641,8,7,51589.91840388,205,1026,2.49000001,"POLYGON ((586747.8514391169883311 4476290.6814375910907984, 588567.6927775517106056 4473942.6282883314415812, 584005.6384451389312744 4474412.7786279339343309, 584448.4290828894590959 4476168.7429821873083711, 585794.8198432993376628 4475577.9496853137388825, 586747.8514391169883311 4476290.6814375910907984))"
8,157341695.067841,68299.3317034798,3612.07006836,157341695.0298,2,8,68299.33108283,241,994,5.63999987,"POLYGON ((584009.5210784875089303 4474408.7764755040407181, 586745.2265734602697194 4474214.1979919979348779, 586914.3183034469839185 4470588.4665857190266252, 584544.1977413392160088 4469749.8420758824795485, 584441.8771377146476880 4470845.3622958334162831, 582432.9926480790600181 4471645.1281366571784019, 584009.5210784875089303 4474408.7764755040407181))"
9,6426495.24334717,13292.9704332731,147.52999878,6426495.233824,10,9,13292.97031146,2,1046,0.23,"POLYGON ((581577.1546959039987996 4478773.1347815347835422, 580654.3858247228199616 4479806.4933491041883826, 580751.5317874015308917 4480448.8461692072451115, 581404.8003092154394835 4479533.0538557348772883, 581577.1546959039987996 4478773.1347815347835422))"
10,130118859.689209,76119.1056709234,2987.12011719,130118859.8552,10,10,76119.10583818,2,1046,4.67000008,"POLYGON ((583812.4896989236585796 4483831.8308081338182092, 584478.9911708630388603 4481812.2602998213842511, 583192.5121498643420637 4482553.8438375703990459, 583378.3775256181834266 4477598.3284197971224785, 580392.3182363236555830 4481855.2456579925492406, 583812.4896989236585796 4483831.8308081338182092))"
